ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,filesize,Layer_Order
a81da6da8b3d82c2a612fecd44205a49,mouse_vole.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/mouse_vole.png,,13459026,
00a653a6648948faf9457cec6fc1eeea,englishdialects2006upton002_buried_cropped.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/Atlas_of_English_Dialects/englishdialects2006upton002_buried_cropped.jpg,,3780972,
12851_geojson,12851.geojson,Dogon Languages (Click on the language symbol to view the map for that language),application/geo+json,file:/geojson.zip,12851.geojson,,0
317366_geojson,317366.geojson,test,application/geo+json,file:/geojson.zip,317366.geojson,,1
37f6e9848b601bbdb801d73be350cc54,Ehret005.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Ehret005/Ehret005.png,,7279731,
322158_geojson,322158.geojson,Main Vegetation Belts,application/geo+json,file:/geojson.zip,322158.geojson,,0
a90d9ccd05609f0eb9f1d23ecc1c66aa,thumb.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Yupik/thumb.png,,27012555,
4d0244f25ec73ee3b9d67dcc01359066,Utoaztec.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Utoaztec/Utoaztec.png,,814609,
01dd1d7d146d2fc93c8f777d693078f7,IndigenousLanguagesofPuebla.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/IndigenousLanguagesofPuebla/IndigenousLanguagesofPuebla.png,,274084,
b95f39dcc1872297cf38936923aecf6b,RhoticEngland.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/RhoticEngland/RhoticEngland.png,,51810,
109726_geojson,109726.geojson,Salar Populated Places,application/geo+json,file:/geojson.zip,109726.geojson,,0
6eff22358503eb0cc3d361591ea36a92,SenufoLanguages.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/SenufoLanguages/SenufoLanguages.jpg,,457818,
12e52dcd2dd34201770d22312bffeb50,Wallonia.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Wallonia/Wallonia.png,,21539,
ba957354db382e61885bac30f59a64d4,typesOfS.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Extremadura/typesOfS.png,,66670,
